f2h_entity_id,f2hname,f2h_price,f2h_weight
1178,Premium Boneless Chicken Breast Fillet,396.0000,0.5000
1179,Premium Chicken Breast Fillet (Boneless cut),396.0000,0.5000
1183,Premium Chicken Dressed with Skin - Tender & tastier than local market,208.0000,0.5000
1184,Premium Whole Chicken with Skin - Curry Cut (Final meat weight between 1.2 kg to 1.4 kg),208.0000,1.2000
1186,Premium Fresh Chicken Mince / Kheema,419.0000,0.5000
1215,Sword Fish - Small Fry Cut,500.2400,0.5000
1227,Great Indian White Prawns / Indian Naaran (Wild Caught)  (Small),499.0000,0.5000
1228,White Prawns / Indian Naaran (Small) - Whole (Not Cleaned),499.0000,0.5000
1229,White Prawns / Indian Naaran (Small) - Peeled & Deveined (PD) Meat,998.0000,0.5000
1230,White Prawns / Indian Naaran (Small) - Tail on,908.1800,0.5000
1231,White Prawns / Indian Naaran (Small) - PUD (Peeled & Undeveined) meat,958.0800,0.5000
1232,White Prawns / Indian Naaran (Small) - Headless,768.4600,0.5000
1239,Premium Chicken Lollipop,299.0000,0.5000
1240,Premium Chicken Lollipop - Lollipop With Partial Skin (around 35 pieces per Kg),299.0000,0.5000
1241,Premium Chicken Drumsticks,338.0000,0.5000
1242,Premium Chicken Drumsticks (Free from all growth hormones & anti-biotics) - Skinless (10 to 12 pieces per Kg),338.0000,0.5000
1243,Yellow Fin Tuna / Kera,338.0000,0.0000
1244,Yellow Fin Tuna / Kera - Whole,338.0000,20.0000
1245,Yellow Fin Tuna / Kera - Curry cut,517.1400,0.5000
1253,"Vigova Duck (Vietnam Variety White Pecking Duck, With Skin)",498.0000,0.5000
1254,"Vigova Duck (Vietnam Variety White Pecking Duck, With Skin) - Whole Cleaned",498.0000,1.2000
1255,"Vigova Duck (Vietnam Variety White Pecking Duck, With Skin) - Whole Duck Curry Cut",498.0000,1.2000
1256,Premium Goat - Mince,738.0000,0.5000
1257,Goat - Mince,738.0000,0.5000
1258,Premium Goat - Chops,560.0000,0.5000
1259,Premium Goat - Curry Cut ,578.0000,0.5000
1262,Goat Chops - Chops,560.0000,0.5000
1263,Goat - Curry Cut (include bones),578.0000,0.5000
1266,Premium Lamb - Curry Cut,578.0000,0.5000
1267,Lamb - Curry Cut (may include bones),578.0000,0.5000
1268,Kada Varaal / Lizard Fish,238.0000,0.5000
1269,Kada Varaal / Lizard Fish - Whole,238.0000,0.6000
1271,Sea Crab - Whole,298.0000,0.5000
1273,Kada Varaal / Lizard Fish - Whole Cleaned,330.8200,0.5000
1274,Queen Fish / Leather Skin Fish - Curry Cut (May include head pieces),458.9200,0.5000
1284,Boal Fish / Attu Vaala / Malli - Whole,458.0000,0.5000
1285,Boal Fish / Attu Vaala / Malli - Whole Cleaned,641.2000,0.6000
1289,Premium Wild Caught Prawn - PUD (Peeled & Undeveined) meat,1076.0000,0.5000
1292,Premium Chicken Dressed with Skin - Whole (Final meat weight between 1.2kg to 1.4kg),208.0000,1.0000
